Title,Director,Actors
Death and Nightingales,Allan Cubitt,Jamie Dornan --- Ann Skelly --- Matthew Rhys --- Valene Kane --- Martin McCann --- Charlene McKenna --- Michael Smiley --- ,
American Animals,Bart Layton,Evan Peters --- Barry Keoghan --- Blake Jenner --- Jared Abrahamson --- Ann Dowd --- Gary Basaraba --- Lara Grice --- Jane McNeill --- Whitney Goin --- Udo Kier --- Wayne Duvall --- Fedor Steer --- Jack Landry --- Gretchen Koerner --- William Cowboy Reed --- Drew Starkey --- Karen Wheeling Reynolds --- Kevin L. Johnson --- Abigail Dolan --- Dorothy Reynolds --- Al Mitchell --- Marlo Scheitler --- Pamela Mitchell --- Tiffany Alice --- AJ Taylor --- Josh Royston --- Steven 'Trainset' Curtis --- Grayson Nickel --- Daniel Freeze --- Lauran Foster --- Jesse Truesdell --- Alec Heroux --- Morgan Prewitt --- Brian Cole --- Stacy Rabon --- Bonnie Cole --- Jason Caceres --- Stephen Royal Phillips --- Ben McIntire --- Josh Jordan --- Bobby Akers --- Cody Taylor --- Debby Handolescu --- Liam Marcy --- James R. Wiley --- Elijah Everett --- John Demers --- Hannah Hoyt --- Kelly Borgnis --- Sophia Alongi --- ,
Life of the Party,Ben Falcone,Melissa McCarthy --- Molly Gordon --- Gillian Jacobs --- Maya Rudolph --- Julie Bowen --- Matt Walsh --- Stephen Root --- Jacki Weaver --- Jessie Ennis --- Debby Ryan --- Adria Arjona --- Luke Benward --- Jimmy O. Yang --- Chris Parnell --- Heidi Gardner --- Yani Simone --- Damon Jones --- Ben Falcone --- Nat Faxon --- Sarah Baker --- Steve Mallory --- Courtney Patterson --- Karina Delbeau-Charles --- Michele Jang --- Mac Alsfeld --- Steve Falcone --- Michael D. McCarthy --- Chris Cavalier --- Christina Aguilera --- Karen Maruyama --- Flynn Falcone --- ,
Default,Choi Kook-hee,Kim Hye-soo --- Yoo Ah-in --- Huh Joon-ho --- Jo Woo-jin --- Vincent Cassel --- Ryu Deok-hwan --- ,
Tully,Jason Reitman,Charlize Theron --- Mackenzie Davis --- Mark Duplass --- Ron Livingston --- Colleen Wheeler --- Elaine Tan --- Maddie Dixon-Poirier --- Asher Miles Fallica --- Lia Frankland --- Bella Star Choy --- Crystal Lonneberg --- Emily Haine --- Katie Hayashida --- Marceline Hugot --- Michael Patrick Lane --- Elfina Luk --- Joshua Pak --- Gameela Wright --- Candus Churchill --- Shade Rupe --- Stormy Ent --- Tattiawna Jones --- John Shaw --- Diane Lane --- Kevin Clash --- Kiff VandenHeuvel --- Fran Brill --- ,
Breaking In,James McTeigue,Gabrielle Union --- Billy Burke --- Richard Cabral --- Ajiona Alexus --- Levi Meaden --- Seth Carr --- Mark Furze --- Jason George --- Christa Miller --- Damien Leake --- ,
The Miseducation of Cameron Post,Desiree Akhavan,Chloë Grace Moretz --- John Gallagher Jr. --- Sasha Lane --- Forrest Goodluck --- Jennifer Ehle --- Marin Ireland --- Owen Campbell --- Kerry Butler --- Quinn Shephard --- Emily Skeggs --- Melanie Ehrlich --- Isaac Jin Solstein --- Dalton Harrod --- Steven Hauck --- McCabe Slye --- Dale Soules --- Christopher Dylan White --- Andre B. Blake --- Nick Covell --- Cerrone May --- Joshua Thomas --- Shelby L. Collete --- Francesca Noel --- Jack Dorado --- Peter Heller --- Christina Karabiyik --- Chloe Roe --- Joyce Hausermann --- Seamus Boyle --- Niko Rodriguez --- Billy Brannigan --- Anthony Krueger --- Paul Evans --- John Kruppa --- Alexandra Imbrosci-Viera --- Padraig Bond --- Lauren Anderson --- Morgan Camara --- Phoebe Camara --- Malachi Tunison --- Anjelina King --- Kim Emerson --- Justin Stowell --- Tanis Parenteau --- Kalen Goodluck --- Sheldon Raymore --- Gabrielle Vassor --- Gina DeLong --- Debbie Vogel --- Kat Gonzalez --- Joseph K. Bevilacqua --- Jeff Marocchi --- Emily Bielagus --- Sid Solomon --- Reba Hasko --- Jack Reilly --- Justin Denis --- Spencer List --- ,
Tiger,Alister Grierson,Mickey Rourke --- Prem Singh --- Janel Parrish --- Michael Pugliese --- Marshall Manesh --- Jacob Grodnik --- ,
Summer '03,Becca Gleason,Joey King --- Jack Kilmer --- Andrea Savage --- Paul Scheer --- Erin Darke --- Stephen Ruffin --- Kelly Lamor Wilson --- Logan Medina --- June Squibb --- Elise DuQuette --- ,
Lola et ses frères,Jean-Paul Rouve,Ludivine Sagnier --- José Garcia --- Jean-Paul Rouve --- Ramzy Bedia --- Pauline Clément --- Marion Ploquin --- Pierre Diot --- Aurore Broutin --- Philippine Leroy-Beaulieu --- Anthony Sonigo --- Jenny Bellay --- Hugues Boucher --- Lola Dubus --- Amandine Chauveau --- ,
Sanju,Rajkumar Hirani,Ranbir Kapoor --- Paresh Rawal --- Vicky Kaushal --- Anushka Sharma --- Dia Mirza --- Manisha Koirala --- Sonam Kapoor --- Boman Irani --- Karishma Tanna --- Jim Sarbh --- Sayaji Shinde --- Tabu --- Arshad Warsi --- Sanjay Dutt --- ,
Last Days in Shibati,Hendrick Dusollier,,
Lorik,Alexey Zlobin,Evgeniya Dmitrieva --- Michael Poghosian --- Shake Tukhmanyan --- ,
The Whistler,Jennifer Nicole Stang,Karis Cameron --- ,
Terminal,Vaughn Stein,Margot Robbie --- Simon Pegg --- Dexter Fletcher --- Max Irons --- Mike Myers --- Katarina Čas --- Nick Moran --- Les Loveday --- Jourdan Dunn --- Matthew Lewis --- Thomas Turgoose --- Jay Simpson --- Benjamin Griffin --- Robert Goodman --- Paul Reynolds --- ,
Juliet, Naked,Jesse Peretz,Rose Byrne --- Ethan Hawke --- Chris O'Dowd --- Azhy Robertson --- Lily Brazier --- Megan Dodds --- Ayoola Smart --- Enzo Cilenti --- Pamela Lyne --- Denise Gough --- Phil Davis --- Kitty O'Beirne --- Alex Clatworthy --- Ko Iwagami --- Lily Newmark --- Eleanor Matsuura --- Daniel Shaw --- Frank Owen --- Florence Keith-Roach --- Mage Rodrigo --- Fehinti Balogun --- Thomas Gray --- Brodie Petrie --- Cal Petrie --- Nina Sosanya --- Matt King --- Carol Anderson --- Georgina Bevan --- Anabella Galbally --- Florence Galbally --- Emma Paetz --- Toby Grimes --- Yeliz Simsek --- Terry Sach --- Ninette Finch --- Douglas Singer --- Ronnie Evans --- Samuel Saphir --- Florence Stephenson --- Charlotte Bottomley --- Paul Jackson --- Lee Byford --- Laura Camberley --- Janine Catterall --- Michael Chapman --- Andrew Dunkelberger --- Begona F. Martin --- Sascha Panknin --- Mike Pinfield --- Karol Steele --- Johanna Thea --- Jimmy O. Yang --- ,
Mara,Clive Tonge,Olga Kurylenko --- Javier Botet --- Mitch Eakins --- Lance E. Nichols --- Rosie Fellner --- Mackenzie Imsand --- Dandy Barrett --- Craig Conway --- Melissa Bolona --- Kathy McGraw --- Jacob Grodnik --- BettyLynn Allison --- Montré Everett --- Gia Skova --- Charles Lawlor --- ,
Bleach,Shinsuke Sato,Sota Fukushi --- Hana Sugisaki --- Ryo Yoshizawa --- Erina Mano --- Yu Koyanagi --- Taichi Saotome --- Miyavi --- Seiichi Tanabe --- Masami Nagasawa --- Yosuke Eguchi --- ,
Anna and the Apocalypse,John McPhail,Ella Hunt --- Sarah Swire --- Malcolm Cumming --- Malcolm Cumming --- Christopher Leveaux --- Paul Kaye --- Ben Wiggins --- Mark Benton --- ,
Respect,Sim Jae-hee,The Quiett --- Lee Joon-Kyung --- Deepflow --- MC Meta --- Beenzino --- San E --- Moon Ji-hoon --- Jerry.K --- ,
Backstabbing for Beginners,Per Fly,Theo James --- Jacqueline Bisset --- Ben Kingsley --- Rossif Sutherland --- Brian Markinson --- Rachel Wilson --- Belcim Bilgin --- Shauna MacDonald --- Daniela Lavender --- Aidan Devine --- Peshang Rad --- Mishu Vellani --- Dwight Ireland --- Elena Khan --- Hattie Kragten --- Alex Hatz --- Carlos Pinder --- Zahir Gilani --- Abbas Abdulghani --- Fabio Lusvarghi --- ,
Next Gen,Kevin R. Adams,Joe Ksander,Jason Sudeikis --- Michael Peña --- David Cross --- Kitana Turnbull --- Charlyne Yi --- John Krasinski --- Constance Wu --- Anna Akana --- Fred Tatasciore --- Jet Jurgensmeyer --- Reba Buhr --- Charlotte Alexis White --- Jon Oswald --- Emilio Zhou --- ,
Every Day is Christmas,David Weaver,Toni Braxton --- Guy Christie --- Gloria Reuben --- Towanda Braxton --- Michael Jai White --- ,
Dogman,Matteo Garrone,Marcello Fonte --- Edoardo Pesce --- Nunzia Schiano --- Adamo Dionisi --- Francesco Acquaroli --- Alida Baldari Calabria --- Gianluca Gobbi --- Laura Pizzirani --- Giancarlo Porcacchia --- Aniello Arena --- Mirko Frezza --- Marco Perfetti --- Vittorio Russo --- Gennaro Iannone --- Emanuele Barbalonga --- Daniele Saliceti --- Nelly Oliva --- Miriam Platano --- ,
The Angel,Ariel Vromen,Toby Kebbell --- Hannah Ware --- Marwan Kenzari --- Waleed Zuaiter --- Ori Pfeffer --- Sapir Azulay --- Sasson Gabai --- Maisa Abd Elhadi --- Mickey Leon --- Slimane Dazi --- Mali Levi --- Guy Adler --- Tim Ingall --- Leo Hunter --- ,
Asandhimitta,Asoka Handagama,,
Acrimony,Tyler Perry,Taraji P. Henson --- Danielle Nicolet --- Ajiona Alexus --- Lyriq Bent --- Jazmyn Simon --- Kendrick Cross --- Jay Hunter --- Ptosha Storey --- Nelson Estevez --- Crystle Stewart --- Remington Steele --- ,
Poinsettias for Christmas,Christie Will,Bethany Joy Lenz --- Sharon Lawrence --- John Schneider --- Lauren London --- Marcus Rosner --- Rhonda Dent --- Oliver Rice --- Nicole Hombrebueno --- Peter Graham-Gaudreau --- ,
Midnight Sun,Scott Speer,Bella Thorne --- Patrick Schwarzenegger --- Rob Riggle --- Quinn Shephard --- Ken Tremblett --- Jenn Griffin --- Nicholas Coombe --- Tiera Skovbye --- Paul McGillion --- Alex Pangburn --- Guy Christie --- Audrey Smallman --- Jaeda Lily Miller --- Allyson Grant --- Yobdee --- Kris Neufeld --- Suleka Mathew --- Tom Vanderkam --- Austin Obiajunwa --- Ava Dewhurst --- Michelle Choi-Lee --- Dean Petriw --- Kiefer O'Reilly --- ,
Suspiria,Luca Guadagnino,Dakota Johnson --- Tilda Swinton --- Mia Goth --- Angela Winkler --- Ingrid Caven --- Renée Soutendijk --- Alek Wek --- Sylvie Testud --- Christine Leboutte --- Elena Fokina --- Małgorzata Bela --- Chloë Grace Moretz --- Jessica Harper --- Fabrizia Sacchi --- Vanda Capriolo --- Jessica Batut --- Clémentine Houdart --- Brigitte Cuvelier --- Vincenza Modica --- Marjolaine Uscotti --- Charo Calvo --- Sharon Campbell --- Elfriede Hock --- Iaia Ferri --- Gala Moody --- Sara Sguotti --- Olivia Ancona --- Anne-Lise Brevers --- Halla Thordardottir --- Stephanie McMann --- Majon Van der Schot --- Maria Bregianni --- Josepha Madoki --- Navala Chaudhari --- Karina El Amrani --- Mikael Olsson --- Fred Kelemen --- Greta Bohacek --- Joel-Dennis Bienstock --- Doris Hick --- Toby Ashraf --- ,
Honey Bee,Rama Rau,Julia Sarah Stone --- Martha Plimpton --- ,
El tipo que se quebró las uñas (por querer agarrar un corazón dibujado en el pavimento),Clasab,Marcos Araya --- Mariela Morales --- Analí Muñoz --- Bárbara Wilson --- Daktor Perini --- Macarena Farías --- ,
The Rib,Wei Zhang,,
Hello Arsi,Sambit Mohanti,,
Les contes merveilleux par Ray Harryhausen,Ray Harryhausen,,
Bumblebee,Travis Knight,Hailee Steinfeld --- Jorge Lendeborg Jr. --- John Cena --- Jason Ian Drucker --- Abby Quinn --- Rachel Crow --- Ricardo Hoyos --- Gracie Dzienny --- Kenneth Choi --- Pamela Adlon --- Stephen Schneider --- Megyn Price --- Peter Cullen --- Jess Harnell --- Glynn Turman --- Vanessa Ross --- John Ortiz --- Len Cariou --- Tony Toste --- ,
Jonathan,Bill Oliver,Ansel Elgort --- Suki Waterhouse --- Patricia Clarkson --- Matt Bomer --- Douglas Hodge --- Souleymane Sy Savane --- Shunori Ramanathan --- Joe Egender --- Ian Unterman --- Alok Tewari --- Jeff Kim --- Teo Rapp-Olsson --- Alaska McFadden --- ,
Tau,Federico D'Alessandro,Maika Monroe --- Ed Skrein --- Gary Oldman --- Sharon D. Clarke --- Ian Virgo --- Dragoljub Ljubi�?ić --- Ivana Zivkovic --- Fiston Barek --- Paul Leonard Murray --- Irene Chiengue Chiendjo --- Greg De Cuir --- Danijel Korsa --- ,
Bad Samaritan,Dean Devlin,David Tennant --- Robert Sheehan --- Kerry Condon --- Carlito Olivero --- Jacqueline Byers --- Tracey Heggins --- Rob Nagle --- Lorraine Bahr --- Jacob Resnikoff --- David Meyers --- Tony Doupe --- Lisa Brenner --- Sofia Hasmik --- Delpaneaux Wills --- Hannah Barefoot --- Danny Bruno --- Austin Leo --- Jared Q. Miller --- Lydia Reim --- Brandon Boyce --- Dana Millican --- Emily Kimball --- Sam Bangs --- Brenda Braxton --- David S. Hogan --- Alex Donnolo --- ,
The Package,Jake Szymanski,Daniel Doheny --- Geraldine Viswanathan --- Luke Spencer Roberts --- Sadie Calvano --- Eduardo Franco --- Alexander Calvert --- Sugar Lyn Beard --- Christian Convery --- Chance Hurstfield --- Bronwen Smith --- Veena Sood --- Nilo Ghajar --- Marc-Anthony Massiah --- Debbie Podowski --- William C. Vaughan --- Blake Anderson --- Michael Eklund --- Mary Holland --- ,
Sasha Was Here,Ernestas Jankauskas,,
Wildling,Fritz Böhm,Bel Powley --- Liv Tyler --- Collin Kelly-Sordelet --- Brad Dourif --- James Le Gros --- Troy Ruptash --- Charlotte Ubben --- Aviva Winick --- Arlo Mertz --- Mike Faist --- Keenan Jolliff --- Frank Deal --- Bhavesh Patel --- Julia Rusatsky --- Anastasia Garvey --- Patrick M. Walsh --- Don Hewitt --- Brian Donahue --- Alina Cho --- Stephanie Salgado --- Kelly Lamor Wilson --- Trevor E. Dickerson --- Alisa Sondak --- Sebastian Joseph Zimmermann --- ,
The Endless,Aaron Moorhead,Justin Benson,Aaron Moorhead --- Justin Benson --- Callie Hernandez --- Tate Ellington --- Shane Brady --- Lew Temple --- Kira Powell --- David Lawson Jr. --- James Jordan --- Emily Montague --- Peter Cilella --- Vinny Curran --- Ric Sarabia --- Glen Roberts --- Josh Higgins --- ,
2.0,S. Shankar,Rajinikanth --- Akshay Kumar --- Amy Jackson --- Sudhanshu Pandey --- Adil Hussain --- Kalabhavan Shajon --- Riyaz Khan --- Kaizaad Kotwal --- Maya Sundarakrishnan --- Sanchana Natarajan --- ,
Operation Finale,Chris Weitz,Oscar Isaac --- Ben Kingsley --- Mélanie Laurent --- Lior Raz --- Nick Kroll --- Michael Aronov --- Ohad Knoller --- Greg Hill --- Torben Liebrecht --- Michael Benjamin Hernandez --- Joe Alwyn --- Greta Scacchi --- Peter Strauss --- Haley Lu Richardson --- Pêpê Rapazote --- Simon Russell Beale --- Rocío Muñoz --- Rita Pauls --- Ania Luzarth --- Tatiana Rodríguez --- Ezequiel Campa --- Aitor Miguens --- Antonia Desplat --- ,
Nappily Ever After,Haifaa Al-Mansour,Sanaa Lathan --- Ricky Whittle --- Ernie Hudson --- Camille Guaty --- Lyriq Bent --- Lynn Whitfield --- Catherine Dyer --- Brittany S. Hall --- Racquel Bianca John --- Tracey Bonner --- Jen Harper --- Danielle Lyn --- Kiley Casciano --- Maurie A. Chandler --- Bo Yokely --- Benjamin Weaver --- Kai N. Ture --- George Lott --- Austin Chunn --- Shatoya McClintock --- Josephine Lundy --- Carolann Utley --- Niles Finklea --- Brian Kayode-Patrick Johnson --- Windi Washington --- Parker Amrani --- Cedric Greenway --- Jalana Kasambira --- Julie Ann Fay --- Greg Puckett --- Jess Marie Carr --- Vanessa Cozart --- Audrey Reid Couch --- Amethyst Davis --- Daria Johns --- Ashley S. Evans --- Ashleigh Breanne Curry --- Adam Niemann --- Jaxson Hunt --- Ava Love --- Travon Mcfarland --- Janice Wesley --- Ashlyn Love --- Nathan Hunt --- Amber E. Walker --- Emelita T. Gonzalez --- Anthony B. Harris --- Aleia Kristene --- Emily Riney Maher --- ,
Every Day,Michael Sucsy,Angourie Rice --- Justice Smith --- Debby Ryan --- Maria Bello --- Lucas Jade Zumann --- Jacob Batalon --- Colin Ford --- Owen Teague --- Jake Sim --- Katie Douglas --- Charles Vandervaart --- Amanda Arcuri --- Michael Cram --- Nicole Law --- Karena Evans --- Robinne Fanfair --- Tara Nicodemo --- Danielle Bourgon --- Kevin Foy --- Jake Robards --- Ian Alexander --- Rohan Mead --- Sean Jones --- Jeni Ross --- Hannah Alissa Richardson --- Michael Lamport --- Keana Bastidas --- Martin Roach --- Nneka Elliott --- Jesse Adam Lowell --- Deshay Padayachey --- ,
The Favourite,Yorgos Lanthimos,Olivia Colman --- Emma Stone --- Rachel Weisz --- Nicholas Hoult --- Joe Alwyn --- Mark Gatiss --- Jenny Rainsford --- James Smith --- Tim Ingall --- LillyRose Stevens --- Liam Fleming --- Carolyn Saint-Pé --- ,
Truth or Dare,Jeff Wadlow,Lucy Hale --- Tyler Posey --- Violett Beane --- Hayden Szeto --- Landon Liboiron --- Sophia Taylor Ali --- Nolan Gerard Funk --- Sam Lerner --- Gary Anthony Williams --- Brady Smith --- Aurora Perrineau --- Tom Choi --- Morgan Lindholm --- ,
The Christmas Contract,Monika Mitchell,Hilarie Burton --- Danneel Ackles --- Cheryl Ladd --- Jordan Ladd --- Bruce Boxleitner --- Jason London --- Robert Buckley --- Teri Wyble --- Tyler Hilton --- Antwon Tanner --- Ritchie Montgomery --- Susan Gallagher --- Hunter Burke --- ,
Forever My Girl,Bethany Ashton Wolf,Alex Roe --- Jessica Rothe --- John Benjamin Hickey --- Abby Ryder Fortson --- Tyler Riggs --- Peter Cambor --- Gillian Vigman --- Morgan Alexandria --- Lauren Gros --- James Rackley --- Arielle Bowden --- Jason Davis --- Adam Drescher --- Bella Lotz --- Cody Alan --- Terayle Hill --- Travis Tritt --- Lillian Ellen Jones --- Caitlin Harris --- Liz Gore --- Emmie Hunter --- Locklyn Black --- ,
Christmas Everlasting,Ron Oliver,Tatyana Ali --- Dondre Whitfield --- Dennis Haysbert --- Patti LaBelle --- Amanda Brooks --- Shi Ne Nielson --- Alyshia Ochse --- Greyson Chadwick --- Kelly Collins Lintz --- Jaida - Iman Benjamin --- Richard Garner --- Brianna Butler --- Brittany Guess --- Byron Johnson --- Selah Kimbro Jones --- Zoë Calloway --- Bella Lotz --- Aven Lotz --- Paul Rolfes --- ,
The Child in Time,Julian Farino,Benedict Cumberbatch --- Kelly Macdonald --- Stephen Campbell Moore --- Saskia Reeves --- Andrea Hall --- Jim Creighton --- Beatrice White --- Rosa-Marie Lewis --- Frances Ashman --- Anna Madeley --- John Hopkins --- Elliot Levey --- Lucy Liemann --- Natasha Brown --- Laurence Spellman --- Richard Durden --- Geraldine Alexander --- Gerard Monaco --- Tony Walker --- Chase Collard --- Gehane Strehler --- Karen Bryson --- Doreene Blackstock --- Eloise Henwood --- ,
Peter Rabbit,Will Gluck,James Corden --- Rose Byrne --- Margot Robbie --- Sam Neill --- Domhnall Gleeson --- Daisy Ridley --- Elizabeth Debicki --- Sia --- Felix Williamson --- Fayssal Bazzi --- Ewen Leslie --- Rachel Ward --- Bryan Brown --- David Wenham --- Fletcher Sheridan --- Marianne Jean-Baptiste --- Terenia Edwards --- Colin Moody --- Christian Gazal --- Alexandra Gluck --- Taryn Gluck --- Will Reichelt --- Jessica Freedman --- Shana Halligan --- Katharine Hoye --- Chris Mann --- Chad Reisser --- Vauxhall Jermaine --- ,
When We First Met,Ari Sandel,Adam Devine --- Alexandra Daddario --- Shelley Hennig --- Andrew Bachelor --- Robbie Amell --- Dean J. West --- Tony Cavalero --- Delfeayo Marsalis --- Daryn Kahn --- Peter Jaymes Jr. --- Martin Bats Bradford --- Noureen DeWulf --- Chelsea Bruland --- Adam Henslee --- Tenea Intriago --- Kyler Porche --- Bertha Bindewald --- Talbott Lin --- Audrey Bishop --- Bill Rainey --- Michael Scott --- Bryan Michael Hall --- Chris Wylde --- ,
The Conquest Of Siberia,Igor Zaytsev,Ilya Malanin --- Dmitriy Dyuzhev --- Dmitri Nazarov --- Pavel Tabakov --- Andrey Burkovskiy --- Agata Mutseniece --- Ekaterina Guseva --- Ivan Kolesnikov --- Evgeniy Dyatlov --- ,
Christmas Cupid’s Arrow,Elisabeth Harnois --- Jonathan Togo --- Chad Michael Collins --- Sasha Jackson --- ,
Spider-Man: Into the Spider-Verse,Bob Persichetti,Peter Ramsey,Shameik Moore --- Jake Johnson --- Liev Schreiber --- Hailee Steinfeld --- Nicolas Cage --- Mahershala Ali --- Brian Tyree Henry --- Lily Tomlin --- Lauren Vélez --- Nick Jaine --- Muneeb Rehman --- Melanie Haynes --- John Mulaney --- ,
Destination Wedding,Victor Levin,Winona Ryder --- Keanu Reeves --- DJ Dallenbach --- Ted Dubost --- D. Rosh Wright --- Greg Lucey --- Curt Dubost --- Donna Lynn Jones --- ,
Early Man,Nick Park,Eddie Redmayne --- Tom Hiddleston --- Maisie Williams --- Timothy Spall --- Richard Ayoade --- Johnny Vegas --- Mark Williams --- Gina Yashere --- Miriam Margolyes --- Rob Brydon --- Kayvan Novak --- Nick Park --- Simon Greenall --- Selina Griffiths --- Richard Webber --- ,
The Little Witch,Mike Schaerer,Karoline Herfurth --- Axel Prahl --- Luis Vorbach --- Momo Beier --- Michael Gempart --- Anna Striesow --- Suzanne von Borsody --- Barbara Melzl --- Eveline Hall --- Therese Affolter --- Angelika Böttiger --- Amelie Elisa Klein --- Carolin Spiess --- Katharina Bohny --- Verena Bosshard --- Marina Guerrini --- Peter Rauch --- Marcus Signer --- Thomas Loibl --- Stephan Boden --- ,
